n_total,split,ratio,imbalance,n_hsp1,share_hsp1,mean_rho_HSP1,mean_raw_HSP1,mass_HSP1,n_hsp2,share_hsp2,mean_rho_HSP2,mean_raw_HSP2,mass_HSP2,n_hsp3,share_hsp3,mean_rho_HSP3,mean_raw_HSP3,mass_HSP3,rho_BS1_HSP1,N_BS1_HSP1,rho_BS1_HSP2,N_BS1_HSP2,rho_BS1_HSP3,N_BS1_HSP3,rho_BS2_HSP1,N_BS2_HSP1,rho_BS2_HSP2,N_BS2_HSP2,rho_BS2_HSP3,N_BS2_HSP3
74454,24818-24818-24818,1:1:1,0.3333333333333333,24818,0.3333333333333333,0.9881474559422652,1.1125045995288836,2853.739573608351,24818,0.3333333333333333,0.9909923372345528,1.1157075056374315,2861.1793180927402,24818,0.3333333333333333,0.9926039827021393,1.1175219747075262,2865.4027046224396,0.99540637037089,12479,0.9915982953611834,12347,1.0,12491,0.9808885415136405,12339,0.9903863791079222,12471,0.9852079654042787,12327
74454,29782-22336-22336,4:3:3,0.400005372444731,29782,0.400005372444731,0.9943914351377207,1.3347591696364112,3423.919463386074,22336,0.2999973137776345,0.7489803801247691,1.0053469840182636,2577.876424357949,22336,0.2999973137776345,0.7491896417039997,1.0056278732152748,2578.5257085795192,1.0,14961,0.7520885237973239,11183,0.7532744444646359,11173,0.9887828702754413,14821,0.7458722364522142,11153,0.7451048389433635,11163
74454,31023-24818-18613,5:4:3,0.4166733822225804,31023,0.4166733822225804,0.9992039008802787,1.3912784341303475,3568.673410984106,24818,0.3333333333333333,0.8062436373212548,1.1226030885904945,2877.2013263145072,18613,0.24999328444408628,0.5974377426710511,0.8318644937049154,2134.4468590249267,1.0,15416,0.81395185451342,12480,0.6012773643515398,9421,0.9984078017605572,15607,0.7985354201290896,12338,0.5935981209905625,9192
74454,37227-29782-7445,5:4:1,0.5,37227,0.5,0.9956875753087886,1.6760856121034018,4297.645709373859,29782,0.400005372444731,0.7948790249238867,1.338055560876645,3431.575922986826,7445,0.09999462755526903,0.19698636337163922,0.3315959921719259,851.0999639628487,1.0,18699,0.8010287873747888,14926,0.19672863964076603,3692,0.9913751506175772,18528,0.7887292624729847,14856,0.19724408710251237,3753
74454,52118-14891-7445,7:2:1,0.7000026862223655,52118,0.7000026862223655,0.9916852082506544,2.339755194958327,6000.968490295896,14891,0.2000026862223655,0.28219298778119994,0.665798484890771,1708.2748327221484,7445,0.09999462755526903,0.14418907167522663,0.340195786628148,871.0782733054903,1.0,26127,0.2831769117393382,7528,0.14217432357929827,3662,0.983370416501309,25991,0.28120906382306177,7363,0.14620381977115499,3783
74454,59563-7446-7445,8:1:1,0.7999973137776345,59563,0.7999973137776345,0.9919491681102902,2.6707100497492036,6850.59187977193,7446,0.10000805866709646,0.12631581301137956,0.34009092612518216,870.834048361121,7445,0.09999462755526903,0.12440815583736434,0.3349547766631846,858.8956681904391,1.0,29908,0.1257676073551527,3656,0.12328991338486826,3753,0.9838983362205804,29655,0.12686401866760644,3790,0.12552639828986042,3692
74454,37227-18614-18613,2:1:1,0.5,37227,0.5,0.9969735128724283,1.6791822869527109,4304.838830462988,18614,0.2500067155559137,0.4903054840084766,0.8258115920960878,2120.3585516847634,18613,0.24999328444408628,0.4991796073181524,0.8407580981781893,2155.1242141757903,1.0,18634,0.4949151515484576,9309,0.5017350634894138,9374,0.9939470257448566,18593,0.4856958164684956,9305,0.49662415114689107,9239
74454,37227-24818-12409,3:2:1,0.5,37227,0.5,0.9962392987635039,1.670157216454836,4283.862904748552,24818,0.3333333333333333,0.6663480943233882,1.1171071847762213,2864.4236812890053,12409,0.16666666666666666,0.33312906721336577,0.5584781852189802,1432.0350102859782,0.9924785975270078,18603,0.6739486554598237,12447,0.339541060777107,6267,1.0,18624,0.6587475331869527,12371,0.3267170736496246,6142
74454,67009-7445-0,9:1:0,0.900005372444731,67009,0.900005372444731,0.9957371410163052,3.006413403461964,7711.2642745502235,7445,0.09999462755526903,0.11238619991643799,0.33932587615249177,869.0573217732696,0,0.0,3.312043313370303e-10,0.0,0.0,1.0,33578,0.11381560753130068,3739,3.312043313370303e-10,0,0.9914742820326103,33431,0.11095679230157529,3706,3.312043313370303e-10,0
74454,74454-0-0,10:0:0,1.0,74454,1.0,0.9948909013961879,3.3457318743114,8580.32159632348,0,0.0,2.973612168491388e-10,0.0,0.0,0,0.0,2.973612168491388e-10,0.0,0.0,1.0,37317,2.973612168491388e-10,0,2.973612168491388e-10,0,0.9897818027923757,37137,2.973612168491388e-10,0,2.973612168491388e-10,0
