n_total,split,ratio,imbalance,n_hsp1,share_hsp1,mean_rho_HSP1,mean_raw_HSP1,mass_HSP1,n_hsp2,share_hsp2,mean_rho_HSP2,mean_raw_HSP2,mass_HSP2,n_hsp3,share_hsp3,mean_rho_HSP3,mean_raw_HSP3,mass_HSP3,rho_BS1_HSP1,N_BS1_HSP1,rho_BS1_HSP2,N_BS1_HSP2,rho_BS1_HSP3,N_BS1_HSP3,rho_BS2_HSP1,N_BS2_HSP1,rho_BS2_HSP2,N_BS2_HSP2,rho_BS2_HSP3,N_BS2_HSP3
74454,3723-35366-35365,,0.4750047008891396,3723,0.05000402933354823,0.10320696459937248,0.1651833393010939,424.1094660385101,35366,0.4750047008891396,0.9950362858766297,1.5925612875534467,4083.4165872699095,35365,0.47499126977731215,0.9921837614863886,1.5879958058919437,4072.795543015129,0.10675214663556643,1884,0.9944053640759285,17638,1.0,17795,0.09966178256317852,1839,0.9956672076773311,17728,0.9843675229727774,17570
74454,7445-33505-33504,,0.4500094017782792,7445,0.09999462755526903,0.22192475185674138,0.33557810176020053,860.3547908395024,33505,0.4500094017782792,0.9984417631451916,1.5097693645756947,3870.890766133759,33504,0.44999597066645175,0.9922387471977578,1.5003896252748175,3849.076039350297,0.22563152405194012,3742,0.998336951073934,16727,1.0,16848,0.21821797966154263,3703,0.9985465752164493,16778,0.9844774943955156,16656
74454,11168-31643-31643,,0.42500067155559135,11168,0.14999865688881725,0.34885608606034435,0.4999637936698348,1282.6359826562098,31643,0.42500067155559135,0.9967685991932935,1.428520900671467,3661.9388073353502,31643,0.42500067155559135,0.988906137920014,1.4172527986579309,3635.7468063319925,0.35587818535741556,5663,0.9935371983865869,15760,0.9971011211873159,15894,0.3418339867632732,5505,1.0,15883,0.9807111546527122,15749
74454,14891-29782-29781,,0.400005372444731,14891,0.2000026862223655,0.4950554490755314,0.6663756212136103,1709.618146406529,29782,0.400005372444731,0.9992791896206711,1.3450923366115926,3447.9321272634033,29781,0.39999194133290356,0.9912393751274842,1.3342702430716782,3422.771322653615,0.5025004797411119,7504,0.9985583792413422,14855,0.9972775382512538,14958,0.4876104184099509,7387,1.0,14927,0.9852012120037145,14823
74454,18614-27920-27920,,0.37499664222204315,18614,0.2500067155559137,0.6652307424391587,0.8370843294748058,2146.58583181374,27920,0.37499664222204315,0.999392413052286,1.257572259656345,3224.411990187994,27920,0.37499664222204315,0.9942339721525126,1.2510812035967747,3209.3237743218087,0.6748053119938764,9352,0.9987848261045719,13944,0.9989219223038206,14021,0.655656172884441,9262,1.0,13976,0.9895460220012047,13899
74454,22336-26059-26059,,0.35000134311118275,22336,0.2999973137776345,0.8561709051011128,1.006416786221605,2580.362804879286,26059,0.35000134311118275,0.9953447618531641,1.1700136858638832,3000.801942001339,26059,0.35000134311118275,0.9947404929725718,1.1693033763436742,2999.1568494429043,0.8611996531012694,11210,1.0,13022,0.9996728836666983,13085,0.8511421571009563,11126,0.9906895237063282,13037,0.9898081022784454,12974
74454,26059-24198-24197,,0.35000134311118275,26059,0.35000134311118275,0.9900482230734347,1.1733923300450413,3008.656839342928,24198,0.32500604400032235,0.9164458067405574,1.0861596995680367,2785.8109925662407,24197,0.3249926128884949,0.9164641136297462,1.0861813966559768,2785.853764414363,1.0,13107,0.9134222250340764,12013,0.9240334697698354,12197,0.9800964461468693,12952,0.9194693884470385,12185,0.9088947574896572,12000
74454,29782-22336-22336,,0.400005372444731,29782,0.400005372444731,0.9886845115191145,1.3401816112218532,3436.5150465444062,22336,0.2999973137776345,0.7400393954925965,1.0031381880303074,2572.744323548778,22336,0.2999973137776345,0.7395057300453904,1.0024147938529362,2571.0622262303527,1.0,14971,0.733715541445635,11079,0.7471904758703647,11267,0.9773690230382289,14811,0.7463632495395579,11257,0.7318209842204161,11069
74454,33504-20475-20475,,0.44999597066645175,33504,0.44999597066645175,0.9918182348930513,1.506874319261263,3864.1464669994066,20475,0.2750020146667741,0.6059801891882333,0.9206686799495017,2360.9682611880244,20475,0.2750020146667741,0.604349008726573,0.9181904194565177,2355.206868136115,1.0,16809,0.6051595543041361,10218,0.6082970842025449,10290,0.9836364697861025,16695,0.6068008240723304,10257,0.6004009332506011,10185
74454,37227-18614-18613,,0.5,37227,0.5,0.9975614045051577,1.6727862891761964,4289.973165349015,18614,0.2500067155559137,0.5007927531172134,0.8397671034083629,2152.833256454956,18613,0.24999328444408628,0.49686522379905174,0.8331811256789845,2137.51517451957,1.0,18587,0.5040820131281648,9346,0.5013840107750029,9384,0.9951228090103154,18640,0.497503493106262,9268,0.4923464368231005,9229
74454,40950-16752-16752,,0.5500040293335482,40950,0.5500040293335482,0.9970572036200323,1.8453451069319065,4731.245556973249,16752,0.22499798533322588,0.40652154558673026,0.7523866657672245,1929.633369958538,16752,0.22499798533322588,0.4041536890328356,0.7480042567241107,1919.4426693917414,1.0,20469,0.4093497139625246,8406,0.40766710443335186,8442,0.9941144072400644,20481,0.4036933772109359,8346,0.40064027363231935,8310
74454,44672-14891-14891,,0.599994627555269,44672,0.599994627555269,0.9954430710182631,2.0113112611081974,5157.185359519916,14891,0.2000026862223655,0.33030833247030367,0.6673941364178761,1711.9934247918982,14891,0.2000026862223655,0.33012778095573064,0.667029328720637,1711.1428120117012,1.0,22359,0.33004224076126276,7450,0.3343410220204912,7508,0.9908861420365264,22313,0.3305744241793446,7441,0.3259145398909701,7383
74454,48395-13030-13029,,0.6499986568888173,48395,0.6499986568888173,0.9947964478722817,2.1764294497667267,5581.164746880607,13030,0.1750073871115051,0.268494157853795,0.5874152380551518,1506.001485471781,13029,0.17499395599967765,0.26597124962112667,0.5818955844733739,1493.1553639711215,1.0,24232,0.2660810276573465,6499,0.271031390524147,6586,0.9895928957445633,24163,0.2709072880502435,6531,0.26091110871810635,6443
