,HSP1,HSP2,HSP3,HSP4,HSP5
BS1,0.21974000996787346,0.22253580662495434,0.21299577985428653,0.21647550974488888,0.21066812394113255
BS2,0.26630785780752514,0.27077818551194144,0.2611497081345418,0.25203677171363825,0.2520339805364531
BS3,0.344100859804623,0.3286168817870411,0.3380379608231525,0.3259594704252965,0.2895971257262268
