iter,gap,welfare,mean_pi,demand_mbps,supply_mbps
1,0.4100156384634522,7.775878625166596,0.32611460510660106,11.696217986975881,15.000000000000197
2,0.4481487952086639,7.610530203437906,0.31388183268266995,11.833204432037883,14.999999999999282
3,0.3591262948120652,7.6657320673395,0.3159168564783128,11.569692478503994,14.999999999999263
4,0.42739766053674016,7.6289677287629765,0.3128576517871463,11.777829768212882,15.000000000000364
5,0.4065011430797677,7.744340993981518,0.312355426053063,11.824651381766461,14.999999999999051
6,0.3925245779230154,7.7221804596043535,0.3104197646993729,11.981685786161114,14.999999999998005
7,0.3238683238650479,7.842929859446938,0.30993972345615795,12.076453052845034,14.999999999999897
8,0.3292842765534233,7.839655011725512,0.307654380847127,12.237465111108575,14.999999999998838
9,0.28739215524252526,7.912525582476452,0.3064634788111077,12.29806397243503,14.999999999998476
10,0.2705141825012502,7.9191576926406135,0.30462312883231707,12.44698122826947,15.000000000001817
11,0.2338801291699081,7.994297800925717,0.3034552933033087,12.5464643467238,14.999999999999948
12,0.22589908688405705,8.006704194518017,0.3016039115906323,12.686095963806077,14.999999999997184
13,0.19945715627843338,8.053491030466452,0.3001958771468339,12.750301969476485,15.000000000000583
14,0.19101705622281703,8.071486290141014,0.29855859305010823,12.88880740513269,14.999999999998444
15,0.1707466860299028,8.117333506622355,0.2972196930405254,12.969755832746651,14.999999999998803
16,0.15971378666194347,8.144861670491055,0.2957250752524886,13.125013419528123,15.000000000001805
17,0.15036202216854452,8.15859503736512,0.29441220849993355,13.125404643717866,15.000000000001858
18,0.13586999159604182,8.20792975495579,0.2931164379636614,13.334202266058133,14.999999999999563
19,0.1332128137761955,8.201171813130983,0.29190965828798776,13.285118517023855,14.999999999999995
20,0.11693847406653157,8.24580749449123,0.2907341600261661,13.467282640876695,15.000000000000018
21,0.11696393073183128,8.238396381233471,0.2895978749903222,13.428180106578788,14.999999999999984
22,0.10410222356017086,8.278576407053908,0.2885164153770102,13.585245431427161,14.999999999999588
23,0.1047744461828698,8.273774375934018,0.2874675728200419,13.565661645808133,15.000000000000123
24,0.09297575779324108,8.309507258675163,0.28648003221449775,13.700224243152581,14.999999999999757
25,0.09402284202630017,8.306260967184443,0.28551095485436595,13.692402282866832,15.000000000001423
26,0.08358342041434133,8.337462969221198,0.28460954779840625,13.807438114873941,15.000000000000206
27,0.08321264544048733,8.336622927589806,0.28372444835414873,13.810999154571068,15.000000000001435
28,0.07399107753627172,8.363822891825551,0.2828989101570938,13.910219546719325,15.000000000003036
29,0.07334359799978604,8.364288287543234,0.28208801483255946,13.9197880947489,14.999999999999917
30,0.06507278284145623,8.388204814300948,0.28133387034222007,14.00690290840722,15.00000000000047
31,0.06420934702638331,8.38960307295178,0.280594434660882,14.020099092444855,15.00000000000017
32,0.057057965916269174,8.410818861258036,0.27990477786942675,14.0976010706629,14.999999999999515
33,0.055970560998651546,8.412679854971586,0.2792331728195952,14.112367697786668,15.00000000000299
34,0.04985801721861395,8.431663380197762,0.278603143950409,14.182043876968796,15.000000000000647
35,0.048560268306211726,8.43372734967079,0.277995491712094,14.19722002771084,14.999999999998934
36,0.0433943687830251,8.450757728237802,0.27742112253485857,14.260099742000728,15.000000000000222
37,0.041935776969207056,8.452918137964579,0.27687286051311555,14.275143681693029,14.999999999999922
38,0.03759800920355916,8.468151487511472,0.27635097351654114,14.33178208995654,15.000000000001
39,0.036042936756240984,8.470389512241493,0.27585730155538857,14.346513355487337,15.0000000000033
40,0.032408003069470226,8.483935747600569,0.2753848168988991,14.397269592875983,14.99999999999934
41,0.030821190590733433,8.486252512433978,0.27494102367801315,14.41164449418916,15.000000000003736
42,0.02777218612865113,8.498221683283326,0.27451473390850334,14.456847910595787,15.000000000002332
43,0.026211743216267805,8.500611018232052,0.27411633253909984,14.470852350899632,15.000000000002817
44,0.023648910891165296,8.51112399963403,0.2737328989018865,14.510858563074894,15.000000000001304
45,0.022163838300104387,8.51357069780805,0.2733756787559011,14.524477223471276,14.999999999999467
46,0.020007922144617312,8.522754606115381,0.27303170050544767,14.559670467778664,15.000000000001256
47,0.01863762465588006,8.525239074248455,0.27271174913575147,14.57288330730607,15.000000000000673
48,0.016829279633043506,8.533220982477147,0.2724038509096557,14.603664306801926,14.999999999998698
49,0.015610626487284144,8.535720152517566,0.2721176945535416,14.616436438574132,15.000000000000385
50,0.014110637499623336,8.542623033903546,0.2718426769280587,14.643212190971678,15.000000000001576
51,0.013061439172156611,8.545112722573458,0.2715871476622779,14.655492887011059,14.99999999999957
52,0.011837722001833174,8.551055403097616,0.2713419394306048,14.678677525663323,15.000000000000828
53,0.010953982382960014,8.553513523973045,0.2711140214691355,14.690416040539471,14.999999999996655
54,0.009977107564130516,8.55860908214347,0.27089569784356143,14.710416186377543,15.000000000000659
55,0.009242942039785151,8.561016286043948,0.27069252591640675,14.721574488562196,15.000000000000155
56,0.008479015743429763,8.565371755132974,0.2704983072842325,14.73877948504061,14.999999999999288
57,0.007874785265883224,8.567710584750847,0.27031719587541947,14.749332385423578,14.99999999999765
58,0.007284280087607068,8.571427062614669,0.27014445650453556,14.764111142956057,15.000000000001329
59,0.006792529233277957,8.573679310845916,0.2699829640690336,14.77403451334913,15.000000000000002
60,0.006334518699156012,8.576853234996728,0.26982926732540335,14.786738245613943,14.999999999997303
61,0.005936869213695915,8.578999178429125,0.2696852003087848,14.796004053671616,15.000000000001569
62,0.0055743942174078616,8.581721264546239,0.269548319330499,14.806962438595747,15.00000000000127
63,0.00524975743916548,8.58374286282606,0.2694196898517563,14.815548007872826,14.999999999998563
64,0.004954141814527377,8.586093627359595,0.26929762093350607,14.825054460128838,15.0000000000021
65,0.004683608736633445,8.587977613108697,0.26918264649960755,14.832950686192502,15.000000000000945
66,0.004435068530212458,8.590024948196257,0.2690736117537165,14.841254517667874,14.999999999999261
67,0.004204433639173819,8.591764277177358,0.26897070831720593,14.848469420050634,15.000000000002615
68,0.003990389370198417,8.593563042383433,0.2688731467255322,14.85577464761707,14.999999999999394
69,0.0037901207056694457,8.595156868066123,0.2687809156699846,14.86233280123998,15.00000000000266
70,0.003602837884251915,8.596750027433394,0.268693465446488,14.868802015686096,15.000000000000728
71,0.0034268021706840364,8.598202648706142,0.26861067680726725,14.874741148439766,15.000000000000295
72,0.0032613929792605426,8.599623276108943,0.268532153312051,14.880502219693165,14.999999999999842
73,0.0031055184321816414,8.600942608255593,0.2684577276670658,14.885868547660953,14.999999999998451
74,0.002958633139022914,8.602216126137872,0.2683871005348497,14.891022096486253,15.00000000000109
75,0.0028199917322397155,8.603412162863586,0.2683200913081928,14.895865739969032,15.000000000002712
76,0.002689103344554512,8.604558375121242,0.26825646308957596,14.900491948905932,15.000000000002036
77,0.0025654087299185843,8.605641928563774,0.2681960401804072,14.904863253380473,15.000000000002993
78,0.00244846916297898,8.606676636721982,0.26813862751465894,14.909027330320857,14.999999999998868
79,0.0023378349687556937,8.6076584587169,0.2680840625756915,14.91297437933641,14.999999999998556
80,0.0022331188592258373,8.608594629380596,0.2680321800761209,14.91673056426509,14.99999999999871
81,0.002133944713790954,8.60948488877828,0.26798283346666374,14.920297790790656,15.000000000002414
82,0.0020399737941804016,8.610333441370567,0.2679358800889347,14.923692122357691,14.999999999998698
83,0.001950885193686629,8.61114147155513,0.26789118941058093,14.926919744869984,14.999999999998968
84,0.0018663840339040515,8.611911789068149,0.2678486369405543,14.929991913663827,15.00000000000002
85,0.0017861937988864884,8.612646010711227,0.2678081070255818,14.932915898293569,14.999999999999686
86,0.001710058131517743,8.613346268711485,0.26776949032626923,14.935700491767244,15.000000000000455
87,0.0016377374745716383,8.614014210634828,0.26773268453646293,14.93835279904663,14.999999999997327
88,0.0015690088126356703,8.614651595638325,0.2676975932463489,14.940880167340207,15.00000000000022
89,0.0015036638714747026,8.615259961790226,0.26766412593644406,14.943289121604732,15.000000000001375
90,0.0014415083202459471,8.615840825092153,0.2676321973708636,14.945586014199607,14.99999999999958
91,0.0013823605765489512,8.616395577362836,0.2676017273736638,14.947776702308564,15.000000000000101
92,0.0013260509521847309,8.616925551228976,0.2675726404318768,14.94986676433965,15.000000000000226
93,0.0012724207392991707,8.617431992766127,0.26754486543057704,14.951861417567688,14.999999999999195
94,0.0012213214352574237,8.617916083581655,0.2675183353503649,14.95376559511708,15.00000000000047
95,0.00117261399482165,8.618378936017393,0.2674929870160663,14.955583935633616,14.999999999999762
96,0.0011261681588059648,8.618821602023159,0.2674687608471794,14.957320816804492,15.00000000000106
97,0.0010818618260605667,8.619245074516726,0.267445600633801,14.95898036421709,14.999999999998447
98,0.001039580479629929,8.619650292185586,0.26742345332383743,14.96056647104142,14.999999999997359
99,0.0009992166543212645,8.620038142191634,0.26740226882690504,14.962082810624059,15.000000000001634
