,HSP1,HSP2,HSP3,HSP4,HSP5,HSP6,HSP7,HSP8,HSP9,HSP10
BS1,0.09704748316850827,0.10378475715765441,0.09711577054956798,0.10849122162121566,0.09706422397775792,0.09715144432978667,0.1084771391990638,0.09712836377927307,0.09719326545520407,0.0970360800153373
BS2,0.19137944190417655,0.18812578820511294,0.1781542358422543,0.17824976409128382,0.18137077800017104,0.18586008480334726,0.17816639834620263,0.1782832871529565,0.178249804960371,0.17835072821783196
BS3,0.08287950527835551,0.07831424854514409,0.08872210622786286,0.08075339320896145,0.07358610440673512,0.07358221881689758,0.07349406474273507,0.0736684741309155,0.07355706313944568,0.07344363572467906
BS4,0.17097572495966787,0.15889565370379996,0.15604375968053658,0.1600854740253327,0.16878390531393198,0.15605032736721855,0.15601390218226271,0.1560741403636598,0.1558950777209717,0.15582350255792957
BS5,0.11830138161940935,0.12300466138006384,0.13810981559973082,0.12098666601531535,0.12684437130563062,0.12531377765688306,0.11822898249459461,0.11830351417361891,0.11822355247878177,0.11837860365554738
