,HSP1,HSP2,HSP3,HSP4,HSP5,HSP6,HSP7,HSP8,HSP9,HSP10
BS1,0.6384877422862104,0.5724350727310953,0.5140316356842317,0.44356277462290417,0.3987756284723826,0.316982102428161,0.26147088563762966,0.19632364167055302,0.1308698512907109,0.06404670981293999
BS2,0.5107959860090161,0.4579485650921604,0.4249939294097959,0.3738568664803767,0.2939040941232999,0.25598081488107954,0.21230662427262725,0.15429787025281302,0.09932169541521195,0.04119122385124302
BS3,0.7388156689274628,0.6968145712237516,0.5926405344545597,0.5220458170546651,0.4607783013669784,0.36673595368733747,0.2838800798597778,0.21592212178266396,0.1416360382780147,0.07993250032851602
BS4,0.6371383791348048,0.5923825292113591,0.5230293992325123,0.45126863783306753,0.3834894157848092,0.3249103023095769,0.25698862516047905,0.19246522393457569,0.1286203317518185,0.06620652236180877
BS5,1.0,0.9391963895337099,0.8325223207593057,0.712999119916966,0.6206696527159021,0.5495844923195297,0.4014225761200863,0.31121764141849195,0.20935257836087195,0.10111021399885393
