,HSP1,HSP2,HSP3,HSP4,HSP5,HSP6,HSP7,HSP8,HSP9,HSP10
BS1,0.39463886223292094,0.3952679116599585,0.3969148617690467,0.39506541840920073,0.3951968287835183,0.3981038589800674,0.3941410587862214,0.39733459062791476,0.3994977454828932,0.39425879828381166
BS2,0.4529938350352487,0.45751558570759954,0.4534472832969394,0.45662648642357206,0.4535773659840357,0.45635394734954216,0.4538520544300334,0.45774214167321225,0.4566278465563495,0.45998659542416337
BS3,0.484744972455348,0.48605487266712033,0.4841540438840737,0.4840348367373088,0.4844309573452035,0.48430148558034447,0.48136410293035825,0.48717559933523263,0.48346327307021264,0.47968375705790905
BS4,0.46493755137062187,0.4641499392616865,0.46758547754735225,0.466803630948712,0.4672654768059852,0.4678041380543491,0.4665914203548494,0.4685969532131135,0.4626353506160349,0.4602523695285682
BS5,0.5720041124399079,0.5708723320585877,0.5719202439040441,0.5712836003927833,0.5723273555605731,0.5711161065116164,0.5695915452060407,0.5720751758711107,0.5694105999424776,0.5745773941079286
