,HSP1,HSP2,HSP3,HSP4,HSP5,HSP6,HSP7,HSP8,HSP9,HSP10
BS1,1.0296151281290982e-05,0.11761621531235619,1.0304626737634753e-05,0.20928416558370214,1.0298228869320694e-05,1.0309055187419371e-05,0.21000140770571965,1.0306189964171185e-05,1.0314247465376041e-05,1.0294736184076033e-05
BS2,0.37318151444960346,0.27031489849076734,0.0002789737041327219,0.0002791597883997001,0.08593249351036182,0.20715902660475688,0.00027899739340096725,0.00027922510110174896,0.0002791598680208157,0.00027935651399280234
BS3,0.10584527243586186,0.050305108592375775,0.1850471723336182,0.07987748433478623,2.661290756289023e-05,2.6611339429966606e-05,2.6575767692088348e-05,2.664615458934172e-05,2.660118765471671e-05,2.6555423146237805e-05
BS4,0.36822733023692383,0.06765529545294661,0.00018297137114086832,0.09313435931602684,0.3072307933150428,0.00018298106994296394,0.00018292728189962473,0.00018301623746868237,0.00018275186274841818,0.0001826462308376874
BS5,3.518608576810065e-05,0.06809776719967517,0.31897633533288894,0.03825250871690012,0.1261090021846547,0.10301276337742814,3.516053318876676e-05,3.5186838521726905e-05,3.515861695325838e-05,3.521334702095536e-05
