n_total,split,ratio,imbalance,n_hsp1,share_hsp1,mean_rho_HSP1,mean_raw_HSP1,mass_HSP1,n_hsp2,share_hsp2,mean_rho_HSP2,mean_raw_HSP2,mass_HSP2,n_hsp3,share_hsp3,mean_rho_HSP3,mean_raw_HSP3,mass_HSP3,n_hsp4,share_hsp4,mean_rho_HSP4,mean_raw_HSP4,mass_HSP4,n_hsp5,share_hsp5,mean_rho_HSP5,mean_raw_HSP5,mass_HSP5,n_hsp6,share_hsp6,mean_rho_HSP6,mean_raw_HSP6,mass_HSP6,n_hsp7,share_hsp7,mean_rho_HSP7,mean_raw_HSP7,mass_HSP7,n_hsp8,share_hsp8,mean_rho_HSP8,mean_raw_HSP8,mass_HSP8,n_hsp9,share_hsp9,mean_rho_HSP9,mean_raw_HSP9,mass_HSP9,n_hsp10,share_hsp10,mean_rho_HSP10,mean_raw_HSP10,mass_HSP10,rho_BS1_HSP1,N_BS1_HSP1,rho_BS1_HSP2,N_BS1_HSP2,rho_BS1_HSP3,N_BS1_HSP3,rho_BS1_HSP4,N_BS1_HSP4,rho_BS1_HSP5,N_BS1_HSP5,rho_BS1_HSP6,N_BS1_HSP6,rho_BS1_HSP7,N_BS1_HSP7,rho_BS1_HSP8,N_BS1_HSP8,rho_BS1_HSP9,N_BS1_HSP9,rho_BS1_HSP10,N_BS1_HSP10,rho_BS2_HSP1,N_BS2_HSP1,rho_BS2_HSP2,N_BS2_HSP2,rho_BS2_HSP3,N_BS2_HSP3,rho_BS2_HSP4,N_BS2_HSP4,rho_BS2_HSP5,N_BS2_HSP5,rho_BS2_HSP6,N_BS2_HSP6,rho_BS2_HSP7,N_BS2_HSP7,rho_BS2_HSP8,N_BS2_HSP8,rho_BS2_HSP9,N_BS2_HSP9,rho_BS2_HSP10,N_BS2_HSP10,rho_BS3_HSP1,N_BS3_HSP1,rho_BS3_HSP2,N_BS3_HSP2,rho_BS3_HSP3,N_BS3_HSP3,rho_BS3_HSP4,N_BS3_HSP4,rho_BS3_HSP5,N_BS3_HSP5,rho_BS3_HSP6,N_BS3_HSP6,rho_BS3_HSP7,N_BS3_HSP7,rho_BS3_HSP8,N_BS3_HSP8,rho_BS3_HSP9,N_BS3_HSP9,rho_BS3_HSP10,N_BS3_HSP10,rho_BS4_HSP1,N_BS4_HSP1,rho_BS4_HSP2,N_BS4_HSP2,rho_BS4_HSP3,N_BS4_HSP3,rho_BS4_HSP4,N_BS4_HSP4,rho_BS4_HSP5,N_BS4_HSP5,rho_BS4_HSP6,N_BS4_HSP6,rho_BS4_HSP7,N_BS4_HSP7,rho_BS4_HSP8,N_BS4_HSP8,rho_BS4_HSP9,N_BS4_HSP9,rho_BS4_HSP10,N_BS4_HSP10,rho_BS5_HSP1,N_BS5_HSP1,rho_BS5_HSP2,N_BS5_HSP2,rho_BS5_HSP3,N_BS5_HSP3,rho_BS5_HSP4,N_BS5_HSP4,rho_BS5_HSP5,N_BS5_HSP5,rho_BS5_HSP6,N_BS5_HSP6,rho_BS5_HSP7,N_BS5_HSP7,rho_BS5_HSP8,N_BS5_HSP8,rho_BS5_HSP9,N_BS5_HSP9,rho_BS5_HSP10,N_BS5_HSP10
74454,3723-7859-7859-7859-7859-7859-7859-7859-7859-7859,,0.10555510785182798,3723,0.05000402933354823,0.31828484309567406,0.5506437039792946,424.1094660385098,7859,0.10555510785182798,0.680278512800261,1.1769051783382043,905.4877490003996,7859,0.10555510785182798,0.684558423483792,1.1843095707326348,910.6229017072403,7859,0.10555510785182798,0.6875274988540617,1.1894461730394796,914.1907820372007,7859,0.10555510785182798,0.6753556166942019,1.1683883990917265,899.532968627451,7859,0.10555510785182798,0.6872603387667253,1.188983976917869,913.8508812357502,7859,0.10555510785182798,0.6740966627466589,1.1662103655477103,898.0083044521807,7859,0.10555510785182798,0.6840330317421486,1.1834006249850308,909.9999498998992,7859,0.10555510785182798,0.6713686822025802,1.16149086556598,894.7039967711704,7859,0.10555510785182798,0.6838926158222431,1.183157700623687,909.8145965537301,0.30726965874856055,675,0.630034273549513,1433,0.6062176080459938,1386,0.593885761444956,1395,0.5654156053089868,1332,0.6033974757194442,1385,0.6270700580664323,1425,0.6215722999658432,1460,0.627265095816572,1492,0.6063704883702424,1410,0.2196105683106195,520,0.4885401724872352,1126,0.45552892287094904,1093,0.5188879227270454,1125,0.507311251218306,1177,0.5037720424512592,1101,0.4742513255368389,1125,0.49608778176615664,1106,0.4733022936192558,1072,0.48562576595840623,1088,0.3233158390487436,757,0.6884578273326678,1601,0.7263386055301116,1672,0.7205419505788168,1645,0.7150116428916805,1630,0.7366462389423198,1635,0.7056267140120834,1631,0.6957372730018543,1621,0.7074065399442138,1652,0.6895279873904693,1633,0.29237999352326327,680,0.6064811841557484,1420,0.6347069809719059,1412,0.6279010137458341,1446,0.6104157866739129,1399,0.6033546025004644,1404,0.6115065606130093,1412,0.6168416181613525,1424,0.5681553005587585,1374,0.6489222155968909,1441,0.44884815584718346,1091,0.9878791064761404,2279,1.0,2296,0.9764208457736566,2248,0.9786237973781231,2321,0.9891313342201391,2334,0.9520286555049309,2266,0.9899261858155369,2248,0.9807141810741007,2269,0.9890166217952069,2287
74454,7445-7446-7446-7446-7446-7445-7445-7445-7445-7445,,0.10000805866709646,7445,0.09999462755526903,0.6686566135443686,1.1186177197804894,860.3547908394996,7446,0.10000805866709646,0.6591704841441701,1.1027480607892404,849.2633555670302,7446,0.10000805866709646,0.6777636224542711,1.1338531355895336,870.9561286027595,7446,0.10000805866709646,0.6649963994951928,1.1124944268814716,856.0721702751106,7446,0.10000805866709646,0.6626420571302636,1.1085557698271733,853.3598385176107,7445,0.09999462755526903,0.6749231877093883,1.1291012785478993,867.6275349479207,7445,0.09999462755526903,0.661276630897151,1.1062715032118826,851.75925737325,7445,0.09999462755526903,0.668258683736059,1.1179520098693223,859.90317593865,7445,0.09999462755526903,0.6612569823920024,1.1062386325790623,851.7105336321902,7445,0.09999462755526903,0.6677605451469993,1.1171186573811522,859.3148106295099,0.6033885497147762,1319,0.6326615684501038,1370,0.5783890831248812,1331,0.5829444326229899,1288,0.5661025556703323,1269,0.5898342114848558,1335,0.6063826972058258,1340,0.6054968378538442,1387,0.6237963862337008,1417,0.597063800435208,1337,0.48846067777094165,1061,0.44103635451795936,1051,0.47359913563264006,1058,0.502967248588565,1072,0.4946983074171643,1090,0.48320757071509335,1034,0.468407888006351,1059,0.48352549190250765,1058,0.4698795343883485,1013,0.47486175396539376,1037,0.6937906035580438,1543,0.6733791202936942,1541,0.7145568973501594,1555,0.6818398063163279,1541,0.7083119259356566,1570,0.7248723511447096,1533,0.6951010307217375,1557,0.6855848788630525,1525,0.6778880671097836,1556,0.6824254630114002,1556,0.6129730960375566,1358,0.5805510750925496,1325,0.6222729961636753,1329,0.6403033773812181,1421,0.5602055504169036,1266,0.6144866761205525,1374,0.5916239880123829,1332,0.6013612356806618,1332,0.5623903706484479,1299,0.6331221948332018,1376,0.9446701406405245,2164,0.9682243023665441,2159,1.0,2173,0.9169271325668629,2124,0.9838919462112612,2251,0.9622151290817303,2169,0.9448675505394581,2157,0.965324974380229,2143,0.9723305535797307,2160,0.9513295134897934,2139
74454,11168-7032-7032-7032-7032-7032-7032-7032-7031-7031,,0.14999865688881725,11168,0.14999865688881725,0.6985318082081409,1.6665763002560485,1282.6359826562102,7032,0.09444757837053751,0.445047572682831,1.061806675664914,816.2836548520305,7032,0.09444757837053751,0.4424997589628507,1.0557280319821323,812.0352265078498,7032,0.09444757837053751,0.4430021891715102,1.0569267437207324,812.8634784243404,7032,0.09444757837053751,0.44100135407711677,1.0521530966085266,809.5410019743201,7032,0.09444757837053751,0.4435795426047737,1.0583042093385353,813.8458133019808,7032,0.09444757837053751,0.440636889284843,1.0512835465351533,808.9660832868497,7032,0.09444757837053751,0.44042125215205824,1.050769073563799,808.5870844443899,7031,0.09443414725871008,0.4379491881068476,1.0448711555276375,804.4756528949805,7031,0.09443414725871008,0.44193007881254187,1.054368873492748,811.0876179805799,0.6538544214049808,2027,0.40751112078875995,1255,0.373385091128044,1246,0.3766182632893122,1188,0.372869570120219,1196,0.4135178996618917,1319,0.39487891615811316,1277,0.3936326704554078,1288,0.41340810187037325,1331,0.39778390974735883,1266,0.4943364401602623,1588,0.30027568388085013,974,0.3196541876100824,993,0.3371573121355976,1040,0.3368802047377972,1043,0.3023662544175822,957,0.32100922289959466,1019,0.32180036839319226,984,0.30338225196845237,960,0.3151362229499869,975,0.7110993512604245,2275,0.47028882191976235,1509,0.4638504769684589,1475,0.45734021815814624,1442,0.47166154983896214,1458,0.4761379128366624,1464,0.46209232741835904,1461,0.4528996584382178,1454,0.4473944594825226,1461,0.45187033215385186,1478,0.6333688282150368,2031,0.4005539201787875,1243,0.41567088801362506,1301,0.4122988486087749,1279,0.3809888682875567,1250,0.39463712487412445,1255,0.39356596713972436,1265,0.3917947445067854,1257,0.3818669722616208,1236,0.4159083956559354,1295,1.0,3247,0.6466083166459954,2051,0.6399381510940432,2017,0.63159630366572,2083,0.642606577401049,2085,0.6312385212336079,2037,0.631638012808424,2010,0.641978818966688,2049,0.643694154951269,2043,0.6289515335555764,2017
74454,14891-6619-6618-6618-6618-6618-6618-6618-6618-6618,,0.2000026862223655,14891,0.2000026862223655,0.6941305503527049,2.2212839438950276,1709.6181464065307,6619,0.088900529185806,0.3142807387079455,1.0057283293649912,772.6733041906,6618,0.08888709807397856,0.3110286918896783,0.9953214694759669,765.3930250518997,6618,0.08888709807397856,0.30759334649774256,0.9843280366743663,757.8028166206506,6618,0.08888709807397856,0.3141409834198171,1.0052810991178336,772.3384656444199,6618,0.08888709807397856,0.30675310749530493,0.9816391917529019,755.9201860462406,6618,0.08888709807397856,0.3097625368061419,0.9912696524854725,762.6511823242097,6618,0.08888709807397856,0.3113012597514498,0.9961937126219678,766.0243610415897,6618,0.08888709807397856,0.30648435213400027,0.9807791489719031,755.3212886688805,6618,0.08888709807397856,0.3097384680095868,0.9911926300416262,762.5788203285101,0.646176080291189,2689,0.2649403430021786,1178,0.272356868555997,1152,0.2601004101518024,1131,0.27474910029831767,1157,0.28985372585844926,1234,0.2848304684197155,1206,0.2687868770555375,1206,0.2893683542916585,1258,0.2782614199425271,1182,0.4858313401686451,2112,0.21246227320259936,924,0.2463795844359659,967,0.22279180603504853,972,0.23426556560794812,932,0.21023909912879873,912,0.22745859587076792,978,0.22705132708297548,914,0.20837390243909443,886,0.2244711871054155,936,0.7147112101202846,3084,0.33515507753657275,1388,0.3165448335759689,1367,0.32677638268108744,1379,0.33657606015421193,1384,0.32008986678603457,1352,0.31964168320135256,1367,0.32928398018967475,1394,0.31159761443804274,1377,0.3164697372782479,1385,0.6239341211834059,2683,0.292265440678,1183,0.2945880628949095,1255,0.2723074347702967,1171,0.2804210373062729,1182,0.2695858196439985,1178,0.28080994625596045,1211,0.2701387279366825,1168,0.27180887530609443,1166,0.29086436042394304,1215,1.0,4323,0.4665805591203765,1946,0.42527410998555004,1877,0.4559906988504775,1965,0.4446931537323352,1963,0.44399702605924335,1942,0.43607199028291316,1856,0.4612453864923788,1936,0.45127301419511145,1931,0.43862563529780074,1900
74454,18614-6205-6205-6205-6205-6204-6204-6204-6204-6204,,0.2500067155559137,18614,0.2500067155559137,0.6945163860775226,2.7903034997016563,2146.585831813742,6205,0.08334004888924705,0.23105276161451732,0.9282823879647919,714.2535799791996,6205,0.08334004888924705,0.23238227719479276,0.9336238774543378,717.9619168919404,6205,0.08334004888924705,0.22996377196407627,0.9239072404611802,711.2049551171303,6205,0.08334004888924705,0.23399706793539693,0.9401114943703923,722.46043443238,6204,0.08332661777741962,0.23022074099070639,0.9249396445753156,711.9052135828705,6204,0.08332661777741962,0.23257720088959877,0.9344070069509129,718.5157223466997,6204,0.08332661777741962,0.23071868292559658,0.9269401864652188,713.2574242821701,6204,0.08332661777741962,0.2284157629343544,0.9176879271378506,706.8554694167102,6204,0.08332661777741962,0.23214966148747332,0.9326893157431524,717.32104846069,0.6395796656130889,3348,0.19802094332192927,1106,0.19735096162673652,1056,0.1990487015421736,1067,0.2054099134061319,1109,0.21745826776475807,1150,0.21312094332899478,1140,0.19914571091145777,1140,0.21666206398294152,1170,0.20685121518315516,1107,0.48384425497513706,2626,0.16833526674802132,884,0.17724750992383415,917,0.17015880921755433,905,0.16790464668031557,860,0.16195068556747239,874,0.16824595641906484,900,0.1679866779959647,852,0.15438989327442793,826,0.17051941435301524,889,0.7167585005145498,3867,0.24271449157267996,1306,0.23692495989629858,1258,0.24926028289139415,1319,0.25387040016598983,1285,0.2402696283476739,1264,0.23534397833462734,1293,0.24370146908309515,1292,0.23344238552303231,1304,0.23658445708169273,1289,0.6323995092848375,3355,0.2143681534732158,1145,0.21992805031413246,1145,0.1892784442829907,1054,0.20871661179806994,1133,0.2069710271117033,1111,0.209335377016832,1110,0.2079610274858967,1134,0.2004140145671267,1087,0.21702068664889693,1138,1.0,5418,0.3318249529567402,1764,0.3304599042129621,1829,0.34207262188626864,1860,0.33408376762647746,1818,0.32445409616192433,1805,0.33683974934847505,1761,0.3347985291515686,1786,0.3371704573242436,1817,0.3297725341706066,1781
74454,22336-5791-5791-5791-5791-5791-5791-5791-5791-5790,,0.2999973137776345,22336,0.2999973137776345,0.6884493122210836,3.3547342694502413,2580.3628048792907,5791,0.0777795685926881,0.17797578885402082,0.8672555370485837,667.1702470897402,5791,0.0777795685926881,0.17720787604540544,0.8635135863061235,664.6376981913406,5791,0.0777795685926881,0.1788101185010443,0.8713211294011389,670.0040687432803,5791,0.0777795685926881,0.1790199495297596,0.8723436118560262,670.7838734060799,5791,0.0777795685926881,0.1751785898240766,0.8536251080864969,657.7184139789005,5791,0.0777795685926881,0.18132421551803066,0.8835720348343893,678.5941405951897,5791,0.0777795685926881,0.17589013686877647,0.8570923949481536,660.0954027447299,5791,0.0777795685926881,0.1765024387956295,0.860076071771996,662.2260659751299,5790,0.07776613748086067,0.17842176273278093,0.869428716435646,668.7288807198498,0.6228862531240508,4020,0.15427172680551327,999,0.15101017083307694,996,0.15393979006015138,979,0.16234322283607724,1071,0.1594085247171235,1042,0.17019084199370854,1085,0.15591076767533293,1089,0.16564365573938866,1085,0.1595242759849048,1027,0.4816434784996305,3170,0.13850021694166478,832,0.12811977461389276,846,0.13726889825001476,843,0.12251910909966925,795,0.12554217243256213,837,0.13286863408969563,837,0.12166121360819712,759,0.1183013362205354,769,0.1348549903041998,845,0.7146616178286445,4639,0.18265848761759085,1200,0.18542308560422102,1201,0.1914756267619889,1196,0.19375770601990489,1218,0.18287909370426156,1193,0.18244145074504636,1197,0.18909786385147642,1215,0.17838540638719838,1210,0.18102340542957496,1208,0.6230552116530922,4011,0.17204499720111796,1110,0.15784991086532507,1023,0.15550952849736033,1033,0.15920863156281442,1038,0.1589890769242025,1032,0.1602278903271473,1038,0.15491119045861929,1039,0.15824923059528162,1030,0.16641534411918388,1058,1.0,6496,0.24240351570421723,1650,0.26363643831051137,1725,0.2558567489357062,1740,0.25727107813033223,1669,0.24907408134223336,1687,0.26089226043455555,1634,0.2578696487502566,1689,0.2619325650357434,1697,0.2502907978260412,1652
74454,26059-5378-5378-5377-5377-5377-5377-5377-5377-5377,,0.35000134311118275,26059,0.35000134311118275,0.693904850625074,3.9113101090732365,3008.6568393429293,5378,0.0722325194079566,0.1425594939059141,0.8035602995947955,618.3268826782006,5378,0.0722325194079566,0.14180631785283007,0.7993148974943696,615.3796600763201,5377,0.07221908829612915,0.1464560108012372,0.8255236651904145,633.5737776066098,5377,0.07221908829612915,0.14097010481000966,0.7946014435895927,612.0891344299807,5377,0.07221908829612915,0.14372667488883967,0.8101393093445075,622.95161262857,5377,0.07221908829612915,0.14273414466788942,0.8045447476646655,619.0496033878196,5377,0.07221908829612915,0.14215596398730448,0.8012857360886467,616.7208167936499,5377,0.07221908829612915,0.14135781462304248,0.7967868344392693,613.5979061510203,5377,0.07221908829612915,0.14297587384972651,0.8059072944053691,619.9753632284295,0.6238618073341701,4673,0.12183454887103007,901,0.1245471011499658,938,0.12425925710707515,946,0.13682301482866016,1007,0.127999016355063,968,0.12699125682437773,971,0.1325945300637459,1048,0.1285065005019297,997,0.1292198752521634,944,0.49022736946800244,3677,0.10996704996747377,810,0.10225354253625048,773,0.11198833989762591,772,0.09307993678108359,732,0.10566208245013835,791,0.10260795734138176,766,0.09850644685921679,715,0.09873960952683025,720,0.10581910154888248,777,0.7189572380672523,5423,0.14608816556080007,1095,0.15615880018944675,1143,0.15539261339846483,1104,0.14589280796570037,1099,0.15054900435676963,1128,0.14692316877173556,1116,0.15194762429002914,1116,0.14143457424419328,1126,0.14575384780837916,1127,0.6364778382559448,4741,0.1328615791757997,970,0.11595742492590493,927,0.13459049492264566,976,0.12443074193085368,967,0.12924464262970273,960,0.13078886589488603,977,0.11880403549473195,943,0.12870842457861928,956,0.13467420373014474,995,1.0,7545,0.20204612595446686,1602,0.2101147204625824,1597,0.20604934868037456,1579,0.2046240225437505,1572,0.20517862865252465,1530,0.20635947450706588,1547,0.20892718322879855,1555,0.20939996426364,1578,0.1994123409090628,1534
74454,29782-4964-4964-4964-4964-4964-4963-4963-4963-4963,,0.400005372444731,29782,0.400005372444731,0.6972819215284752,4.467276224316867,3436.5150465444003,4964,0.06667203911139764,0.11536963815269016,0.7391386835296083,568.9722457252801,4964,0.06667203911139764,0.11711433028667524,0.7503164029688552,576.69078634517,4964,0.06667203911139764,0.11682122328248938,0.7484385542672711,575.4557401350802,4964,0.06667203911139764,0.11487562179497046,0.7359736688330747,566.7381130673307,4964,0.06667203911139764,0.11610133160950878,0.7438264241438622,572.24675693729,4963,0.0666586079995702,0.11621430780033544,0.7445502287279356,572.7193843432797,4963,0.0666586079995702,0.11713475955431014,0.750447287161845,576.8421306645803,4963,0.0666586079995702,0.11376896763098528,0.7288836673821905,561.7522808655403,4963,0.0666586079995702,0.11614047710312918,0.7440772175855684,572.3891116955799,0.6258470713566714,5307,0.09517878184125356,843,0.10203056019668098,844,0.10478879456792808,918,0.11116756689167946,924,0.10631713069109289,911,0.0990203008108586,893,0.1121870447835067,968,0.10284621087336931,918,0.10374335982062843,867,0.4976422559348434,4242,0.08541034185677104,733,0.09043074530338907,716,0.07953623466630191,675,0.08067657773686607,700,0.0849915944697876,731,0.0829062443319623,686,0.07923577551571546,672,0.08081650803907994,654,0.08664793681186635,724,0.7216073141366224,6180,0.12411129023398458,1038,0.1234393636495587,1018,0.12666922689130414,1047,0.12059314863894888,1016,0.11696678403539817,1022,0.12297516083840218,1044,0.12256598761113256,1021,0.1152921497849216,1052,0.11739275995154592,1039,0.6413129662142388,5433,0.09944939740433302,859,0.10232034968116574,885,0.10496891493467919,896,0.10022040321795632,870,0.1074706266603548,920,0.10382650057420267,874,0.09965632666056583,870,0.10127900652912876,883,0.11123119551208539,922,1.0,8620,0.17269837942710864,1491,0.16735063260258165,1501,0.16814294535223365,1428,0.1617204124894016,1454,0.16476052219091045,1380,0.17234333244625144,1466,0.1720286632006301,1432,0.16861096292842678,1456,0.16168713341951987,1411
74454,33504-4550-4550-4550-4550-4550-4550-4550-4550-4550,,0.44999597066645175,33504,0.44999597066645175,0.692545888818783,5.022921821495669,3864.1464669993975,4550,0.06111155881483869,0.09380197948289719,0.6803303827963678,523.4759556895001,4550,0.06111155881483869,0.09612423771545765,0.6971733411328487,535.1343406097201,4550,0.06111155881483869,0.09294643273716555,0.6741252424759556,519.1610787527204,4550,0.06111155881483869,0.09236947821338075,0.6699406858793203,516.24208370909,4550,0.06111155881483869,0.09609302257214754,0.6969469428146652,535.05983733637,4550,0.06111155881483869,0.09347648839992857,0.6779696493204478,521.7982603104698,4550,0.06111155881483869,0.09395787520282275,0.6814610689012662,524.2973831648402,4550,0.06111155881483869,0.09229118340670842,0.6693728264792523,515.8477054644906,4550,0.06111155881483869,0.09413616347209477,0.6827541644963762,525.1584842869297,0.6150224445752633,5936,0.08255983772589635,770,0.08309554024131031,822,0.09037713868879427,852,0.07870228123273493,796,0.09406367325004591,880,0.07947966539784812,827,0.09138877211193677,892,0.0825746635735754,816,0.08351252968471311,802,0.4969170297517822,4789,0.06964616540729153,661,0.07183556297470649,645,0.06053630153867487,613,0.06813341448180274,667,0.06984336270723104,649,0.07019611549798989,639,0.061124269256343365,598,0.06373273992090162,612,0.07071858724483931,660,0.7170741679597591,6952,0.1008563240830257,960,0.10562844230903459,938,0.09620077102280303,936,0.10015794337713521,958,0.09624999456904268,947,0.09810553773351481,930,0.09714193205955199,944,0.09495794457308677,959,0.09391266649580755,953,0.6337158018071101,6072,0.07800941211693889,790,0.08766450562543047,824,0.0822895287764836,809,0.08488908089623776,842,0.08288358559832766,790,0.08276750847877275,822,0.08156010353689275,789,0.08234748926971823,818,0.09227868216780084,856,1.0,9755,0.13793815808133345,1369,0.13239713742680637,1321,0.135328423659072,1340,0.1299646710789931,1287,0.13742449673609036,1284,0.13683361489151732,1332,0.1385742990493889,1327,0.13784307969626003,1345,0.130258351767313,1279
74454,37227-4137-4137-4137-4136-4136-4136-4136-4136-4136,,0.5,37227,0.5,0.692445174477352,5.575972129221155,4289.973165349006,4137,0.05556450963010718,0.07894632182899318,0.6357217963938421,487.85259256509,4137,0.05556450963010718,0.07668188983327173,0.6174872701641091,475.21466753563004,4137,0.05556450963010718,0.07599409700847481,0.6119487614660873,471.3315063675302,4136,0.05555107851827974,0.0775129145730126,0.6241791657224625,479.87849081262,4136,0.05555107851827974,0.07737472575392387,0.6230663888092718,479.0946075030101,4136,0.05555107851827974,0.07626545945475376,0.6141339300442507,472.8000483132397,4136,0.05555107851827974,0.07560418553350576,0.6088089670138667,469.1478831422403,4136,0.05555107851827974,0.076908876579623,0.6193150997425482,476.4839728903304,4136,0.05555107851827974,0.07728066929520118,0.6223089913838267,478.54466184482965,0.6156436173061518,6577,0.06718542094698196,730,0.07022308048742597,758,0.07357285694943302,771,0.06904068055539878,749,0.0692255021094763,748,0.06742223479263365,783,0.07442371242954848,804,0.06724098034421694,747,0.06964739924078678,726,0.4987016186817703,5332,0.058273863277128114,575,0.05299555723773534,579,0.05332544700961172,580,0.05823501387925255,615,0.053570073910487605,577,0.05595266697073409,560,0.05267642580933761,563,0.052706785707170675,554,0.056719995608668694,598,0.7212684337361734,7750,0.08536619663766636,852,0.08170353461139783,852,0.07947539640025685,845,0.07908726286112684,857,0.07844025603303825,865,0.08147849945873945,863,0.07786206488788615,862,0.07931509606242974,862,0.07733078336209491,869,0.6266122026626642,6698,0.07418372116249376,776,0.06631927771513402,741,0.06690720801803597,728,0.0712693803729269,763,0.07186799905437921,745,0.06508036702857423,736,0.06302824720777572,712,0.06933471940679872,733,0.07592726953504424,780,1.0,10870,0.10972240712069571,1204,0.11216799911466555,1207,0.10668957666503652,1213,0.10993223519635792,1152,0.113769797662238,1201,0.11139352902308743,1194,0.11003047733298083,1195,0.11594680137749892,1240,0.10677789872941124,1163
