,HSP1,HSP2,HSP3,HSP4,HSP5,HSP6,HSP7,HSP8,HSP9,HSP10
BS1,278.4732287545805,249.9646133672498,223.61840066021992,193.37821054737,173.12867215405015,138.5068831493999,114.13342139815995,85.14921409289006,57.04060055995999,27.73128983179999
BS2,222.6467395520899,199.13971999575008,184.29681211432973,162.45576025080953,128.4541130166401,111.46168975718997,92.17795375404005,67.04307285092003,43.33057545930998,17.94887948632
BS3,322.25487324649976,302.9422282773801,258.2461328633398,227.24990195115004,200.43157081746992,159.30696743642025,124.37445310664,94.20682090095997,61.71285610145,34.896641081500015
BS4,277.5005623934298,257.5967078663498,227.41603948007025,196.7019956230599,167.05668432256005,141.4642655499201,111.97865109246986,84.20913644243988,56.150354468079954,28.995806782079985
BS5,437.185010469721,408.59625703517924,363.3308551807393,311.1188152044493,270.5331767283303,238.64255458179983,174.8934787739702,135.78559629265996,91.25803703128008,44.205314469050016
