n_total,split,ratio,imbalance,n_hsp1,share_hsp1,mean_rho_HSP1,mean_raw_HSP1,mass_HSP1,n_hsp2,share_hsp2,mean_rho_HSP2,mean_raw_HSP2,mass_HSP2,n_hsp3,share_hsp3,mean_rho_HSP3,mean_raw_HSP3,mass_HSP3,n_hsp4,share_hsp4,mean_rho_HSP4,mean_raw_HSP4,mass_HSP4,n_hsp5,share_hsp5,mean_rho_HSP5,mean_raw_HSP5,mass_HSP5,rho_BS1_HSP1,N_BS1_HSP1,rho_BS1_HSP2,N_BS1_HSP2,rho_BS1_HSP3,N_BS1_HSP3,rho_BS1_HSP4,N_BS1_HSP4,rho_BS1_HSP5,N_BS1_HSP5,rho_BS2_HSP1,N_BS2_HSP1,rho_BS2_HSP2,N_BS2_HSP2,rho_BS2_HSP3,N_BS2_HSP3,rho_BS2_HSP4,N_BS2_HSP4,rho_BS2_HSP5,N_BS2_HSP5,rho_BS3_HSP1,N_BS3_HSP1,rho_BS3_HSP2,N_BS3_HSP2,rho_BS3_HSP3,N_BS3_HSP3,rho_BS3_HSP4,N_BS3_HSP4,rho_BS3_HSP5,N_BS3_HSP5
74454,14891-14891-14891-14891-14890,1:1:1:1:1,0.2000026862223655,14891,0.2000026862223655,0.870821443382939,1.116815701042343,1718.2548470078789,14891,0.2000026862223655,0.8734245285149228,1.1201541194616869,1722.854235777802,14891,0.2000026862223655,0.8724567697074969,1.1189129830161295,1721.179206310173,14891,0.2000026862223655,0.8659441692789634,1.1105606686944407,1709.5304019367818,14890,0.19998925511053806,0.8653752191313223,1.1098309984930184,1708.5029052909,0.656686198342799,3731,0.6731568205494923,3713,0.6356639346131406,3649,0.6490991329051067,3753,0.6505453550975063,3753,0.9735258248438957,5590,0.9761373805136179,5528,1.0,5663,0.9739171263341742,5565,0.9652894787715024,5518,0.9822523069621225,5570,0.9709793844816579,5650,0.9817063745093498,5579,0.9748162485976095,5573,0.9802908235249583,5619
74454,24818-19854-14891-9927-4964,5:4:3:2:1,0.3333333333333333,24818,0.3333333333333333,0.8889376383190948,1.8510632945081273,2849.395329225658,19854,0.2666612942219357,0.719275407734768,1.4977702017633163,2303.0842339647706,14891,0.2000026862223655,0.5387482712120523,1.1218527676542844,1725.2604431911577,9927,0.13333064711096784,0.3542683313547211,0.7377042846530585,1135.9481294614402,4964,0.06667203911139764,0.17667273268920378,0.3678912856472381,566.6334604804999,0.668320173700553,6244,0.5406168803660032,4884,0.3997964704965316,3755,0.2716572091894974,2524,0.13056988453260143,1192,1.0,9331,0.810683015249635,7483,0.6073142235072766,5530,0.398910099279693,3687,0.1941123246908643,1833,0.9984927412567312,9243,0.8065263275886658,7487,0.6091341196323485,5606,0.39223768559497285,3716,0.20533598884414556,1939
74454,28954-20682-12409-8273-4136,7:5:3:2:1,0.3888844118516131,28954,0.3888844118516131,0.8868452282139409,2.1715417830602095,3340.989884810926,20682,0.2777822548150536,0.6331893992724871,1.5504365286828807,2385.482394005591,12409,0.16666666666666666,0.38064075308097317,0.9320423376641717,1433.755115687868,8273,0.11111558814838693,0.2525827655226944,0.6184777360961486,951.8340681718294,4136,0.05555107851827974,0.1240546901179607,0.303762070771103,468.2601336473101,0.6652613212558034,7235,0.47999147494749034,5142,0.2824794943449119,3109,0.19054374693899873,2085,0.09185438820119922,1028,1.0,10882,0.7086558251869881,7788,0.4360022115129573,4647,0.27750810165482226,3011,0.13844636957505174,1536,0.9952743633860192,10837,0.7109208976829828,7752,0.4234405533850503,4653,0.2896964479742621,3177,0.14186331257763116,1572
74454,58779-3919-3919-3919-3918,15:1:1:1:1,0.7894673221049239,58779,0.7894673221049239,0.8902315130312902,4.398670017207549,6768.895194850175,3919,0.0526365272517259,0.05844135510126062,0.28876110616841216,444.99470393190023,3919,0.0526365272517259,0.06168268381887739,0.30477664284330125,467.28912196468025,3919,0.0526365272517259,0.05864325506458371,0.2897587020770546,446.3483487980597,3918,0.05262309613989846,0.05957339583301424,0.2943545653440674,452.79422677873026,0.6720525462032836,14778,0.042115688298929685,964,0.04492795416245056,953,0.04453904223386172,935,0.043856915330609,969,0.9986419928905869,21884,0.06427147798984811,1438,0.06972532055259498,1500,0.06557800381570236,1518,0.0707464839829093,1524,1.0,22117,0.06893689901500408,1517,0.07039477674158662,1466,0.06581271914418707,1466,0.06411678818552444,1425
