n_total,split,ratio,imbalance,n_hsp1,share_hsp1,mean_rho_HSP1,mean_raw_HSP1,mass_HSP1,n_hsp2,share_hsp2,mean_rho_HSP2,mean_raw_HSP2,mass_HSP2,n_hsp3,share_hsp3,mean_rho_HSP3,mean_raw_HSP3,mass_HSP3,n_hsp4,share_hsp4,mean_rho_HSP4,mean_raw_HSP4,mass_HSP4,n_hsp5,share_hsp5,mean_rho_HSP5,mean_raw_HSP5,mass_HSP5,rho_BS1_HSP1,N_BS1_HSP1,rho_BS1_HSP2,N_BS1_HSP2,rho_BS1_HSP3,N_BS1_HSP3,rho_BS1_HSP4,N_BS1_HSP4,rho_BS1_HSP5,N_BS1_HSP5,rho_BS2_HSP1,N_BS2_HSP1,rho_BS2_HSP2,N_BS2_HSP2,rho_BS2_HSP3,N_BS2_HSP3,rho_BS2_HSP4,N_BS2_HSP4,rho_BS2_HSP5,N_BS2_HSP5,rho_BS3_HSP1,N_BS3_HSP1,rho_BS3_HSP2,N_BS3_HSP2,rho_BS3_HSP3,N_BS3_HSP3,rho_BS3_HSP4,N_BS3_HSP4,rho_BS3_HSP5,N_BS3_HSP5
74454,3723-17683-17683-17683-17682,,0.2375023504445698,3723,0.05000402933354823,0.18202476630915232,0.27530290472312907,424.10946603851016,17683,0.2375023504445698,0.8794791686085084,1.3301660794343833,2045.923882822362,17683,0.2375023504445698,0.8754858782988104,1.324126437445252,2037.4927044475392,17683,0.2375023504445698,0.8793404293680255,1.329956243615453,2045.6415370910786,17682,0.23748891933274235,0.8705817411494238,1.3167091874206391,2027.1540059240422,0.14109645409702226,932,0.6527807664652802,4433,0.6471537956775553,4304,0.6734456677036962,4503,0.6541688645044687,4427,0.20036985177823824,1371,0.9862868342368841,6606,1.0,6686,0.9877540552479204,6637,0.9711246188359973,6564,0.2046079930521965,1420,0.999369905123361,6644,0.9793038392188759,6693,0.9768215651524595,6543,0.9864517401078055,6691
74454,7445-16753-16752-16752-16752,,0.22501141644505332,7445,0.09999462755526903,0.38586264269590514,0.5593029187560874,860.3547908394999,16753,0.22501141644505332,0.8662307220849357,1.2555902478491967,1931.8843047834887,16752,0.22499798533322588,0.8697637183667193,1.260711280345502,1939.0064613502618,16752,0.22499798533322588,0.8651192827880223,1.2539792309379958,1929.6333699585389,16752,0.22499798533322588,0.860079428132984,1.2466740266845464,1919.4426693917424,0.2934048739066623,1861,0.6475185371724108,4205,0.6390392407373997,4091,0.660357908054574,4232,0.6485805404174454,4210,0.43674737735058156,2777,0.9605139051885087,6229,1.0,6352,0.9668624360223201,6276,0.9615008356634324,6230,0.4274356768304718,2807,0.9906597238938872,6319,0.9702519143627581,6309,0.9681375042871727,6244,0.9701569083180746,6312
74454,11168-15822-15822-15821-15821,,0.2125070513337094,11168,0.14999865688881725,0.6064418530161456,0.8332782229368974,1282.6359826562116,15822,0.2125070513337094,0.8668775209893803,1.1911284760465606,1831.9253746614181,15822,0.2125070513337094,0.8658979134153933,1.1897824514369997,1830.02538446492,15821,0.21249362022188198,0.8606518730400289,1.1825741573858919,1819.9954304285795,15821,0.21249362022188198,0.8584276318299603,1.1795179505068798,1815.7394241124011,0.4718512440407087,2853,0.6300798748001838,3893,0.6457244822578342,3903,0.6537173062924978,3982,0.6461461124969514,3968,0.6716587336438978,4118,0.9705526881679574,5921,0.997173285394257,5975,0.9622158273307834,5959,0.9615361448294186,5891,0.6758155813638306,4197,1.0,6008,0.9547959725940887,5944,0.9660224854968051,5880,0.9676006381635109,5962
74454,14891-14891-14891-14891-14890,,0.2000026862223655,14891,0.2000026862223655,0.8520193099564454,1.110628283050754,1709.6181464065335,14891,0.2000026862223655,0.8615247661780141,1.1230188807750177,1726.8969001378696,14891,0.2000026862223655,0.8583184951486871,1.1188394270388353,1721.0352271255308,14891,0.2000026862223655,0.8531848220501667,1.1121475569456034,1711.7459783918998,14890,0.19998925511053806,0.8527945346914061,1.1116388077023747,1711.0253442617009,0.6591317945142958,3785,0.6265376377072058,3649,0.6352875089731789,3670,0.6451191139176141,3759,0.6463001859664911,3736,0.9441005479410504,5540,0.9580366608268366,5527,0.9979661043492105,5654,0.9559652346586229,5584,0.9539451280476736,5559,0.9528255874139903,5566,1.0,5715,0.941701872123672,5567,0.9584701175742628,5548,0.9581382900600535,5595
74454,18614-13960-13960-13960-13960,,0.2500067155559137,18614,0.2500067155559137,0.8866827017327993,1.395133552535586,2146.585831813743,13960,0.18749832111102158,0.6666267159952206,1.0488907663181273,1613.4790319523904,13960,0.18749832111102158,0.6654877096270848,1.047098619028423,1610.9329582355979,13960,0.18749832111102158,0.6635174382695145,1.0439985341015665,1606.6560196170415,13960,0.18749832111102158,0.6617010319748223,1.0411405451481233,1602.6677547047602,0.6737640047079964,4674,0.4872036591790684,3417,0.503532173480257,3508,0.4963953086568883,3501,0.5004320536843004,3499,0.9862841004904014,6943,0.7448357030726713,5194,0.7707451932250382,5277,0.7483642903331804,5254,0.7346650555382152,5196,1.0,6997,0.7678407857339222,5349,0.7221857621759593,5175,0.7457927158184747,5205,0.7500059867019516,5265
74454,22336-13030-13030-13029-13029,,0.2999973137776345,22336,0.2999973137776345,0.882852749250948,1.6773627806387317,2580.36280487929,13030,0.1750073871115051,0.5109610603908598,0.9707927689895076,1494.5201631816603,13030,0.1750073871115051,0.5154813195461031,0.9793809672731738,1506.450904019679,13029,0.17499395599967765,0.5152347042181861,0.9789124141961923,1505.8323602717815,13029,0.17499395599967765,0.5104514124171317,0.9698244709997415,1493.15536397112,0.6613880354375846,5611,0.3769374014549828,3181,0.39570707119300563,3273,0.38203620964069007,3258,0.3879208225261705,3276,0.9871702123152593,8325,0.5757498655734244,4889,0.5890925113352399,4893,0.5828277683665303,4906,0.56524176500199,4851,1.0,8400,0.5801959141441719,4960,0.5616443761100638,4864,0.5808401346473381,4865,0.5781916497232347,4902
74454,26059-12099-12099-12099-12098,,0.35000134311118275,26059,0.35000134311118275,0.8793284358417224,1.9556519810807502,3008.65683934293,12099,0.16250302200016117,0.40576133595464753,0.9024249963508651,1389.1052506434403,12099,0.16250302200016117,0.40820768821289644,0.9078657548266061,1396.7057419228004,12099,0.16250302200016117,0.4081474180573452,0.9077317122501359,1396.516513057502,12098,0.16248959088833373,0.4058340921328565,0.9025868082043781,1389.3372513568588,0.6584604820856085,6524,0.3000368063748411,2941,0.31283850987602385,3049,0.3025175908422807,3050,0.3089647365635803,3035,0.9795248254395585,9684,0.4696422811225916,4623,0.4604156082997702,4533,0.4587613151674371,4506,0.4508232543327806,4518,1.0,9851,0.4476049203665099,4535,0.45136894646289527,4517,0.4631633481623178,4543,0.4577142855022086,4545
74454,29782-11168-11168-11168-11168,,0.400005372444731,29782,0.400005372444731,0.8774717180899341,2.2336310740718868,3436.5150465443967,11168,0.14999865688881725,0.33076769687425994,0.8419792807063612,1294.7305104288498,11168,0.14999865688881725,0.3260473456188975,0.8299634823311579,1278.01381311993,11168,0.14999865688881725,0.3285429594011117,0.8363161434801348,1286.873624897701,11168,0.14999865688881725,0.32778698950670637,0.8343917990113666,1284.188601332648,0.6583676051840607,7434,0.2412952848205136,2723,0.24892117574086925,2806,0.24706341384556937,2850,0.24936573299651155,2786,0.9740475490857413,11067,0.391028404071853,4291,0.3669417002037104,4200,0.3704540873754317,4160,0.3606707730728287,4146,1.0,11281,0.35997940173041326,4154,0.3622791609121128,4162,0.3681113769823342,4158,0.3733244624507789,4236
74454,33504-10238-10238-10237-10237,,0.44999597066645175,33504,0.44999597066645175,0.8785828917273485,2.5114528223722528,3864.1464669993975,10238,0.13750772288930077,0.2695333776765547,0.7704684082323094,1184.9696596527808,10238,0.13750772288930077,0.267281036581896,0.7640300306445053,1176.0303888372403,10237,0.13749429177747333,0.26904057692461675,0.7690597240307673,1183.0270684569296,10237,0.13749429177747333,0.2663126994038294,0.7612620127810091,1172.148012377178,0.6535024374543343,8325,0.20425613895306577,2554,0.20643450530117188,2607,0.19951596092549823,2575,0.20118222331441943,2538,0.9822462377277111,12494,0.3124388193292237,3882,0.29937038816087563,3840,0.3051996972659174,3828,0.2941747475425464,3820,1.0,12685,0.29190517474737465,3802,0.2960382162836404,3791,0.30240607258243474,3834,0.3035811273545223,3879
74454,37227-9307-9307-9307-9306,,0.5,37227,0.5,0.8864586335554664,2.787974375742292,4289.973165349015,9307,0.12500335777795685,0.22356728602136858,0.7031347443499438,1081.02465665272,9307,0.12500335777795685,0.22146013372704734,0.6965076030711775,1071.8085998022311,9307,0.12500335777795685,0.221772062067615,0.6974886395094854,1073.1683248745999,9306,0.12498992666612942,0.21976297418470034,0.6911699176603738,1064.3468496449686,0.6619277848736174,9245,0.17079665255621124,2354,0.168426290691959,2348,0.1649759667762292,2353,0.16529988265602027,2299,0.9974481157927819,13953,0.25419491637077635,3461,0.24769098425019387,3518,0.2509138655246762,3448,0.24335104294428841,3484,1.0,14029,0.24571028913711815,3492,0.24826312623898913,3441,0.24942635390193962,3506,0.25063799695379224,3523
