iter,gap,welfare,mean_pi,demand_mbps,supply_mbps
1,0.26852400417820377,7.626981910052825,0.3263976668946719,10.387369985796688,10.000000000001291
2,0.3730483904092166,7.438081979936032,0.3320696396608837,10.131880301432092,9.999999999999893
3,0.39131261726966843,7.444174080404573,0.33548088014341854,10.005487313786357,9.999999999999936
4,0.3099392961472539,7.407398040269397,0.3386672660303957,9.93727936816046,9.999999999999625
5,0.3006140504896034,7.44323105733855,0.3384244656787733,9.90524532047235,10.000000000000323
6,0.26632631339028306,7.421827259850431,0.3383018963300091,9.943970570960916,9.999999999999105
7,0.22844969822234934,7.462470737069499,0.33790814590875345,9.93092469635046,10.000000000000364
8,0.2397562641767499,7.433519070070783,0.33792857749730554,9.953213203070375,10.000000000000918
9,0.2129569178005292,7.4723461231821915,0.33716555766802064,9.961629823215283,9.99999999999999
10,0.1923962110160409,7.450957307336293,0.33740830765544794,9.973969190935119,9.999999999999815
11,0.17061225951501569,7.480659762725783,0.3367567547332236,9.983635199569878,10.00000000000057
12,0.1559053318680162,7.46428051598794,0.33696987555814656,9.994232286224626,9.99999999999902
13,0.13789059327990932,7.486487820212371,0.3364375159694731,10.002273470349282,9.999999999999932
14,0.12737081146992632,7.474094120711417,0.33663138539852655,10.011476014741332,9.999999999998867
15,0.11246514093699367,7.490459298374927,0.3362124429249373,10.017057662710606,10.000000000000345
16,0.10455434356696226,7.481148411080439,0.33639430604629483,10.024934774487958,9.999999999998828
17,0.09222237746898738,7.492888848859316,0.336078387315057,10.027855384161157,9.999999999999426
18,0.08601920916547344,7.485993842198511,0.3362502410820419,10.034555070836115,10.000000000000064
19,0.07581532473538438,7.494052898508476,0.33602398955069734,10.034964630277836,9.999999999999597
20,0.07079142688280932,7.48907848423101,0.33618511419396174,10.04068101592753,10.000000000000524
21,0.06235066822742366,7.494227996316996,0.3360340853395472,10.038929552136802,9.99999999999875
22,0.0581825143408531,7.490783038226815,0.33618276777547257,10.043849826006278,10.000000000000897
23,0.0512063421802629,7.493680664471629,0.3360927034670697,10.0403934139273,10.000000000000071
24,0.047683101042747,7.491431106304244,0.3362273549208737,10.044658141494635,9.999999999999396
25,0.04192306392225404,7.492651534421974,0.33618490276420826,10.039998314824253,10.000000000000224
26,0.03889665551603938,7.491294602965041,0.33630467517554363,10.043683148586796,10.000000000000243
27,0.034141137250176035,7.491342692069374,0.3362977576302759,10.038323216312717,9.999999999999243
28,0.03150215271502015,7.490600605653036,0.33640274032108874,10.041443896302708,10.000000000000773
29,0.02757042595635678,7.489909861776619,0.3364207761826325,10.035850090998128,9.9999999999991
30,0.025240624072211674,7.489539127594138,0.33651186809841316,10.038387424370605,10.000000000001359
31,0.021984177303621972,7.488460382361902,0.3365460032906864,10.032949275862157,9.999999999998971
32,0.01991603223879797,7.488267476898628,0.3366245990698869,10.034882911227454,10.000000000000208
33,0.017220776223175503,7.487058720685905,0.3366677295720399,10.029887474764612,9.999999999999444
34,0.015394753802134733,7.486913035713881,0.3367354211184095,10.031224256097724,10.000000000000673
35,0.013178414515682933,7.485739944037866,0.3367821418625027,10.026846690819552,9.999999999999273
36,0.011593825465498824,7.485571850642517,0.33684047375573667,10.027632081140688,10.000000000000906
37,0.009798069233498062,7.484521578418091,0.336887013366672,10.023942057510308,10.000000000000675
38,0.008461803013290163,7.484307538916652,0.3369373496908943,10.02425462676545,10.00000000000084
39,0.007042847815437996,7.483411864802391,0.3369813235475067,10.021240366587604,10.000000000000338
40,0.0059604415290126795,7.4831544852969705,0.33702485785842723,10.021175374791012,10.000000000000748
41,0.004881138289007897,7.482413267402784,0.33706494197561615,10.018773260725567,10.000000000000131
42,0.004050659522770367,7.482126577216425,0.33710267387436127,10.01843060653238,10.000000000000625
43,0.003273996990047139,7.4815237904032434,0.33713831211361983,10.016549124349345,9.999999999999497
44,0.002681675883468385,7.4812248530367675,0.3371710496111249,10.01602467202202,10.000000000000217
45,0.002165155402909562,7.4807380281209115,0.3372022091438735,10.01456236461104,9.99999999999877
46,0.0017817590162517117,7.480442595393375,0.33723060300270774,10.013940825039036,10.000000000000076
47,0.0014725684013355321,7.480048550200787,0.33725755047633893,10.012800623610275,10.000000000000506
48,0.0012502431292676361,7.479768970622237,0.33728214404260415,10.012150065171518,9.99999999999962
49,0.0010822967881528069,7.479446912087147,0.3373053088988847,10.011248262382951,10.000000000000815
50,0.0009602881582942547,7.479191018319291,0.33732657330948285,10.01061686565132,9.99999999999989
